x,y
701.73535,1176.853
703.8852,157.716
643.75116,404.44592
550.6278,310.15475
581.3291,423.15042
1497.2609,784.5941
1318.374,469.38202
1144.901,938.41565
977.8065,742.23016
67.71543,53.16802
354.64554,210.54752
686.1001,1016.0563
1031.747,1031.4609
1321.4384,124.61352
1123.6385,994.69434
750.2451,84.74379
707.1007,216.99896
416.65414,970.3796
287.6995,543.9546
474.3148,127.25096
357.51373,973.8728
1425.8816,585.9925
813.4667,1048.7557
1125.7904,795.50385
1555.8301,584.1479
904.0644,679.58484
457.62344,593.39197
280.47284,985.0811
239.73817,412.69418
462.78424,412.1069
889.2565,900.2442
1554.4537,721.9645
261.10764,470.8419
1159.3917,990.65845
893.80255,329.2344
1078.9642,626.00757
1174.9509,212.78438
187.24698,937.2577
1396.3263,459.21173
397.82394,251.61145
748.03424,65.18417
1364.3634,692.0454
1357.011,1146.8004
439.5876,106.64283
595.1537,864.7963
856.2462,121.61775
916.9404,395.40988
517.309,687.3244
895.8615,31.514786
794.81165,710.2047
1581.4287,178.99284
797.51416,81.39292
464.40906,304.08926
982.52716,270.32574
1024.2197,92.37873
307.95297,540.68304
51.81539,108.651764
1009.973,1040.1372
729.6162,665.4866
629.11584,756.072
1118.6205,416.73578
703.36285,403.78537
1080.1012,1162.7446
706.06494,666.7212
142.05203,1111.0718
203.16495,19.377838
948.34576,594.54706
378.8368,678.4677
659.5723,442.89053
593.3535,408.3743
1249.3252,1183.3217
1171.0602,486.76245
23.960678,435.4018
439.31528,411.5423
1476.2484,633.9072
1355.3743,182.1835
1353.6853,1122.9797
135.5749,458.73352
1381.5116,83.35732
1338.0522,58.96091
535.0112,763.0334
1076.1559,474.67145
1504.2898,992.50684
1473.9532,564.86993
307.57797,1021.24603
116.16052,905.7891
1380.0181,404.4367
671.78394,260.53867
1541.9376,700.8135
8.035209,554.9916
565.51117,772.4044
1515.7733,434.1962
1169.1158,302.30463
285.7837,354.9677
1202.394,720.4656
1299.6007,700.8599
590.7214,990.9876
779.48474,953.9496
583.3267,378.60742
121.94805,341.50345
435.3005,358.9663
338.65857,88.53441
829.54095,760.0577
1333.543,194.63127
1293.8286,778.2638
978.30084,522.8701
883.8429,872.705
1038.9216,697.2133
1205.9182,538.7104
494.00418,879.3452
59.359398,809.1343
145.15103,767.42365
1285.3539,534.81055
1230.0974,68.38724
305.43677,838.295
1034.5614,1080.6772
1104.3298,961.1778
1063.5331,171.8405
155.3681,898.7867
775.17883,99.60825
905.23315,871.3675
1515.189,693.56177
239.00749,382.15073
861.8194,254.91415
1160.3635,840.9439
269.81876,60.398712
199.79836,208.87587
60.133606,417.76196
648.81946,1084.806
203.1403,240.41826
426.54266,1044.1089
1484.2911,1043.2705
1289.5842,378.2283
975.0124,1120.094
1438.6676,905.36664
874.2541,116.559
1110.4989,79.58341
724.00616,207.72658
1023.8167,337.48108
863.72626,584.4066
459.40826,1113.1019
1109.4469,678.24274
1306.547,890.61694
1058.0106,335.57666
1230.572,199.39755
405.91205,1107.7605
399.25333,1144.9077
1409.9235,899.0065
1356.9929,972.9924
1377.8895,263.73367
82.286194,463.71973
389.22232,561.17523
573.8225,1186.7024
873.99603,776.85364
864.686,795.30255
1317.3954,664.0578
893.5644,1090.3237
737.9758,908.6237
1112.4894,1120.1033
249.16472,569.62726
959.1848,768.86646
1183.5088,1037.6787
1004.63416,823.6658
595.6043,1050.425
645.6773,642.4714
1056.3397,503.96625
1054.0896,1150.8029
129.39105,419.14072
411.96362,841.9914
212.73637,705.64954
832.3253,518.03107
316.922,484.62924
1080.7837,844.07404
163.44266,1111.9507
392.6977,909.5849
1242.4688,1090.6625
1129.1101,839.55505
1454.9727,853.1418
831.1831,347.97913
1314.0928,1113.4683
540.11487,604.7665
781.2605,35.59617
1278.3595,95.869965
90.60354,619.29095
1002.90894,1058.33
146.67355,910.88745
731.76044,590.3602
1423.8463,757.83484
173.81567,738.7646
303.92633,685.7531
1046.9424,466.5961
828.4892,10.264409
985.73553,332.03964
54.122303,508.1857
893.7412,647.5965
1456.1694,339.25674
1377.8468,626.9284
1407.2062,273.01962
609.4582,298.21063
121.88399,245.76514
1204.4153,209.98773
2.7388117,662.2941
842.4717,704.44086
819.8266,886.1233
1559.2773,14.878913
1581.9996,359.23965
489.48117,641.9256
449.18625,1026.8354
1032.1255,1160.9781
249.53024,316.03308
1529.5549,318.92462
946.3772,50.740196
313.33432,346.30008
1133.492,861.8681
1308.9225,266.23013
1441.1572,252.18567
955.5752,7.667602
1237.4591,1197.8896
956.2318,735.6301
843.3881,142.43002
550.87964,856.9269
1327.0365,754.9873
937.2886,1006.9289
1270.303,718.04034
1560.1599,109.16963
994.10565,337.03497
1446.7578,400.60352
368.33167,151.68639
1184.1259,205.13255
717.29364,435.8986
666.7775,845.4495
939.75604,23.04821
1302.8127,1073.8253
725.5315,188.36273
1159.459,137.5122
351.74878,763.89044
1.8871238,409.89798
1553.1053,846.2442
745.1842,375.48734
